id,width,height,area_ratio,box_scale,total_corners,error,perimeter,file,label
1,127,267,0.268070423781297,0.4756554307116105,305,0.6193346753417874,1.8445324164054115,./sample_dataset/img/1.png,NONE
2,188,259,0.27156411730879815,0.7258687258687259,277,0.5740342898714126,1.9397576557976555,./sample_dataset/img/2.png,NONE
3,376,377,0.32572379931147355,0.9973474801061007,695,0.025815593119518684,0.9427967705574644,./sample_dataset/img/3.png,NONE
4,202,263,0.5807137747995332,0.7680608365019012,353,0.2938340233925328,1.0989292208866406,./sample_dataset/img/4.png,NONE
5,305,294,0.3122448979591837,0.9639344262295082,410,0.014642990056948404,0.86831954514642,./sample_dataset/img/5.png,NONE
6,435,433,0.6256005946218577,0.9954022988505747,312,0.0043574185816770816,0.8695566922700899,./sample_dataset/img/6.png,NONE
7,112,240,0.29482886904761907,0.4666666666666667,393,0.6372210800641149,3.0446588195521724,./sample_dataset/img/7.png,NONE
8,312,178,0.3795556035724575,0.5705128205128205,447,0.5333898218458374,1.6872611510510347,./sample_dataset/img/8.png,NONE
9,183,235,0.25862109057086385,0.7787234042553192,319,0.5517811421208526,1.9693405988969301,./sample_dataset/img/9.png,NONE
10,249,153,0.2661889387615823,0.6144578313253012,357,0.5866191114466732,1.8490834772883362,./sample_dataset/img/10.png,NONE
11,225,215,0.5105736434108528,0.9555555555555556,237,0.09379322512584327,0.8873962741006505,./sample_dataset/img/11.png,NONE
12,207,209,0.5540300025425884,0.9904306220095693,166,0.051852685958744905,0.8751172366050574,./sample_dataset/img/12.png,NONE
13,208,273,0.31427867004790083,0.7619047619047619,309,0.4890168889941958,2.4672333381280085,./sample_dataset/img/13.png,NONE
14,213,298,0.3003749566751741,0.714765100671141,351,0.5313161400651659,1.6624804623206302,./sample_dataset/img/14.png,NONE
15,257,289,0.4557510804733887,0.889273356401384,413,0.1333465835552529,0.9441923060259976,./sample_dataset/img/15.png,NONE
