id,width,height,area_ratio,box_scale,total_corners,error,perimeter,file,label
0,560,467,0.32457555827470175,0.8339285714285715,590,0.47750275523418295,1.130263743521292,./data/img/0.png,BOLT
1,323,332,0.5122813234361595,0.9728915662650602,661,0.03552971369502415,0.8435425609122705,./data/img/1.png,WASHER
2,338,300,0.4536785009861933,0.8875739644970414,356,0.15297107751109978,1.3848911023999457,./data/img/2.png,NUT
3,324,323,0.5147154378320529,0.9969135802469136,470,0.01252150587572908,0.8278984849382958,./data/img/3.png,WASHER
4,292,152,0.569777397260274,0.5205479452054794,267,0.48111968713548553,0.9874904000007354,./data/img/4.png,NUT
5,217,215,0.4768835065909334,0.9907834101382489,380,0.023033279879004543,0.828351296208523,./data/img/5.png,WASHER
6,270,249,0.42544994793990776,0.9222222222222223,564,0.18164644871980767,1.0906263859745164,./data/img/6.png,NUT
7,537,192,0.4642205927995034,0.3575418994413408,653,0.6156503749735885,1.1752154941585002,./data/img/7.png,BOLT
8,338,327,0.4487360440077448,0.9674556213017751,615,0.03371754997354857,0.856755190594752,./data/img/8.png,WASHER
9,249,405,0.49513609995537705,0.6148148148148148,747,0.41972524768338026,1.1362402278713495,./data/img/9.png,BOLT
10,416,426,0.34434249729144095,0.9765258215962441,465,0.022647166020384704,0.8318073775026408,./data/img/10.png,WASHER
11,395,400,0.22841772151898734,0.9875,235,0.016926288397448298,0.8321164392825192,./data/img/11.png,WASHER
12,217,373,0.40945874155248885,0.5817694369973191,503,0.5303470956833125,1.2107168390589245,./data/img/12.png,BOLT
13,270,271,0.4842285089517562,0.996309963099631,409,0.040221763293963805,0.8533052239091912,./data/img/13.png,NUT
14,297,297,0.5306714734324162,1.0,490,0.015142293814979387,0.8287298711462053,./data/img/14.png,WASHER
15,436,447,0.2692619502083205,0.9753914988814317,691,0.04471330936184428,0.8496054542564184,./data/img/15.png,WASHER
16,264,240,0.4318339646464647,0.9090909090909091,459,0.34931144393004704,1.1049705397278544,./data/img/16.png,BOLT
17,170,251,0.44933208343098197,0.6772908366533864,166,0.4885616052475776,0.968788482655822,./data/img/17.png,BOLT
18,290,256,0.4568426724137931,0.8827586206896552,503,0.13856701000862545,0.8583878339865268,./data/img/18.png,NUT
19,395,379,0.4476203199625931,0.959493670886076,1206,0.04784007975700607,0.952418836666324,./data/img/19.png,WASHER
20,220,215,0.47078224101479915,0.9772727272727273,166,0.04636923777761364,0.8445114442671853,./data/img/20.png,NUT
21,285,270,0.5344509421702404,0.9473684210526315,562,0.11541355274801772,0.8345846402752507,./data/img/21.png,NUT
22,208,225,0.566025641025641,0.9244444444444444,340,0.10500310166905315,0.856461338991381,./data/img/22.png,NUT
23,249,195,0.4022860673463083,0.7831325301204819,341,0.46585493022378976,0.9468172583225611,./data/img/23.png,BOLT
24,251,207,0.414843043285794,0.8247011952191236,724,0.45797478916529316,1.0980650078521546,./data/img/24.png,BOLT
26,366,373,0.2564277238166396,0.9812332439678284,696,0.5527723269435099,1.664539344417226,./data/img/26.png,WASHER
27,419,366,0.31731810060383164,0.8735083532219571,805,0.500391812328589,1.1366731771997585,./data/img/27.png,BOLT
28,637,450,0.3381196581196581,0.706436420722135,1479,0.5222053122925093,0.9815919954182363,./data/img/28.png,BOLT
29,386,423,0.3198348828378594,0.9125295508274232,672,0.4667885472927363,0.9583249388283351,./data/img/29.png,BOLT
30,327,334,0.4425277884597777,0.9790419161676647,449,0.039799540284392934,0.8629335189370633,./data/img/30.png,WASHER
31,387,268,0.3081202514558988,0.6925064599483204,334,0.5747270632365339,0.9332988433255494,./data/img/31.png,BOLT
32,386,375,0.23801727115716753,0.9715025906735751,347,0.028277166860628533,0.8501932130693293,./data/img/32.png,WASHER
33,209,227,0.47341019750015806,0.920704845814978,326,0.3604723934426656,1.1073419175563601,./data/img/33.png,BOLT
34,238,229,0.47996403801695353,0.9621848739495799,262,0.3247580249891438,1.0231732161958926,./data/img/34.png,BOLT
35,339,330,0.40555108608205953,0.9734513274336283,452,0.027490557302826818,0.8520703969693149,./data/img/35.png,WASHER
36,256,255,0.5527267156862745,0.99609375,351,0.01600424249901078,0.8397887086681657,./data/img/36.png,WASHER
37,380,385,0.241203007518797,0.987012987012987,240,0.019606292930253164,0.8382874893207176,./data/img/37.png,WASHER
38,313,322,0.3117198817296053,0.9720496894409938,550,0.03630958656785068,0.841698812218163,./data/img/38.png,WASHER
39,271,269,0.5250277781588225,0.992619926199262,631,0.016753945589956507,0.8701881168065247,./data/img/39.png,WASHER
40,299,262,0.4316806658326738,0.8762541806020067,512,0.3701511303664979,0.9446249371543926,./data/img/40.png,BOLT
41,706,514,0.32123488497701747,0.7280453257790368,2807,0.5358545911033122,1.7749311677745132,./data/img/41.png,BOLT
42,470,580,0.2515700660308144,0.8103448275862069,811,0.5815560111976861,1.1410622756254105,./data/img/42.png,BOLT
43,307,278,0.5117052937454597,0.9055374592833876,628,0.1502508408794375,0.8621997675325117,./data/img/43.png,NUT
44,389,353,0.40274692863957123,0.9074550128534704,423,0.12831157264005172,0.8603925183616237,./data/img/44.png,NUT
45,385,294,0.45792031098153546,0.7636363636363637,697,0.4164624238123581,1.2970711059528177,./data/img/45.png,BOLT
46,578,577,0.3758073318021265,0.9982698961937716,3399,0.006921792185417771,0.8372255874402595,./data/img/46.png,WASHER
47,295,295,0.5034530307382936,1.0,755,0.09190778706880715,0.8533185283006248,./data/img/47.png,NUT
48,416,437,0.3188424133075163,0.9519450800915332,863,0.42645770709302194,1.5345953474430518,./data/img/48.png,BOLT
49,268,312,0.4008084577114428,0.8589743589743589,406,0.4419666216485988,1.1206845431492247,./data/img/49.png,BOLT
50,510,512,0.35492110906862745,0.99609375,798,0.009927429754870154,0.8306466893323947,./data/img/50.png,WASHER
51,481,481,0.24411633767143123,1.0,911,0.009048649002195786,0.8347416030641901,./data/img/51.png,WASHER
52,534,574,0.23233697425256758,0.9303135888501742,672,0.5689848282835098,1.1354268438549249,./data/img/52.png,BOLT
53,319,508,0.4897255202033915,0.6279527559055118,2152,0.3425138401288017,1.0092593204441787,./data/img/53.png,BOLT
54,313,293,0.5632925885136683,0.9361022364217252,764,0.13059919637726836,0.9006819624711971,./data/img/54.png,NUT
55,372,381,0.20882369542516863,0.9763779527559056,758,0.3687573301157817,1.3803953807034182,./data/img/55.png,NUT
56,235,269,0.38272561891956025,0.8736059479553904,477,0.2981812924310437,1.1030206297125136,./data/img/56.png,NUT
57,608,605,0.3297846889952153,0.9950657894736842,3898,0.0077176210671158025,0.8481991829600889,./data/img/57.png,WASHER
58,398,324,0.4648784043675166,0.8140703517587939,764,0.3895716691170008,1.362497885471566,./data/img/58.png,BOLT
59,342,278,0.5046909840548613,0.8128654970760234,1019,0.1745136177252756,0.9126830995082855,./data/img/59.png,BOLT
60,259,345,0.4020703933747412,0.7507246376811594,323,0.4844151766299625,1.060602046697345,./data/img/60.png,BOLT
61,542,552,0.37067490240119794,0.9818840579710145,1281,0.02311246974065347,0.8578323953439374,./data/img/61.png,WASHER
62,505,514,0.21883884886543128,0.9824902723735408,1334,0.021698107378432054,0.8391402017496987,./data/img/62.png,WASHER
63,216,209,0.5710836434520645,0.9675925925925926,222,0.08572395214916291,0.8435402673833511,./data/img/63.png,NUT
64,299,218,0.4580405633457089,0.7290969899665551,536,0.4488918603359613,1.5574332536765638,./data/img/64.png,BOLT
65,274,261,0.6115306093911682,0.9525547445255474,363,0.0864064749750496,0.8563054335451572,./data/img/65.png,NUT
66,372,372,0.3614218406752226,1.0,299,0.002919697678868097,0.830326636151601,./data/img/66.png,WASHER
67,242,188,0.4364119922630561,0.7768595041322314,255,0.44985072811297316,0.9401724765467089,./data/img/67.png,BOLT
68,273,260,0.49319526627218935,0.9523809523809523,372,0.08357739564261459,0.8594795345812757,./data/img/68.png,NUT
69,433,506,0.28875206528585384,0.8557312252964426,1017,0.5228139955460523,1.4711115982331915,./data/img/69.png,BOLT
70,370,366,0.44479397430217105,0.9891891891891892,696,0.02905776894894569,0.8538196303112351,./data/img/70.png,WASHER
71,224,272,0.4883797268907563,0.8235294117647058,285,0.381925790992604,1.1240330142599921,./data/img/71.png,BOLT
72,215,204,0.48333333333333334,0.9488372093023256,287,0.08658799573925459,1.1098398620302752,./data/img/72.png,NUT
73,380,369,0.37434032235059195,0.9710526315789474,328,0.029175864228473226,0.8333081363517547,./data/img/73.png,WASHER
74,338,338,0.2829120128847029,1.0,444,0.0058167411783383175,0.8303360551948378,./data/img/74.png,WASHER
75,277,281,0.4630959569356476,0.9857651245551602,425,0.06135718114038469,0.8468789197638044,./data/img/75.png,NUT
76,213,206,0.5165914581339167,0.9671361502347418,221,0.08672726476622437,0.9130684531389387,./data/img/76.png,NUT
77,307,444,0.2884203421662705,0.6914414414414415,388,0.5875981674555604,0.9264257935963363,./data/img/77.png,BOLT
78,264,353,0.35389303802901534,0.7478753541076487,584,0.4916111977689624,1.0770579586152706,./data/img/78.png,BOLT
79,371,375,0.40679964061096135,0.9893333333333333,492,0.01901594117522602,0.8345335209018104,./data/img/79.png,WASHER
80,307,216,0.5181716733019665,0.7035830618892508,539,0.39014728540404786,1.1936545024410488,./data/img/80.png,BOLT
81,222,294,0.43307593307593306,0.7551020408163265,433,0.3318776395416475,0.9666520446076874,./data/img/81.png,NUT
82,207,221,0.43213762651102805,0.9366515837104072,546,0.0829145942649571,0.9138598823658773,./data/img/82.png,WASHER
83,242,251,0.33950149813967273,0.9641434262948207,399,0.43261804879609267,1.075554355041976,./data/img/83.png,BOLT
84,399,398,0.35577007846248787,0.9974937343358395,317,0.0092535411903013,0.831346076435247,./data/img/84.png,WASHER
85,232,235,0.4377659574468085,0.9872340425531915,161,0.07769331957671495,0.8247568914926027,./data/img/85.png,NUT
86,216,213,0.37184837419579203,0.9861111111111112,220,0.0362983691587651,0.8705715070237646,./data/img/86.png,WASHER
87,396,398,0.4677871681640526,0.9949748743718593,1185,0.012810349958393688,0.8607348129340924,./data/img/87.png,WASHER
88,307,282,0.3699263058192991,0.9185667752442996,384,0.4151183726304375,1.201747079555369,./data/img/88.png,BOLT
89,311,309,0.5112332074215132,0.9935691318327974,420,0.011078212197605495,0.8343328377892895,./data/img/89.png,WASHER
90,326,205,0.5774951369145593,0.6288343558282209,877,0.38518080482166445,0.9870726951098038,./data/img/90.png,BOLT
91,267,199,0.4236726704684471,0.7453183520599251,224,0.47457180870037013,0.9419567249875211,./data/img/91.png,BOLT
92,309,310,0.5244493162125483,0.9967741935483871,239,0.012427299713785445,0.8275695373823262,./data/img/92.png,WASHER
93,401,401,0.3692141218027251,1.0,464,0.006391813934447396,0.8339469608969224,./data/img/93.png,WASHER
94,209,212,0.4817865848153832,0.9858490566037735,409,0.01918910323368897,0.8334869647535745,./data/img/94.png,WASHER
95,312,321,0.4493569773943606,0.9719626168224299,427,0.028835241841950923,0.8285275379440042,./data/img/95.png,WASHER
